id,title,album,artist,genre,country,released,duration,released-timestamp,duration-float
544128906,Slop Bucket,Return Of The Thin Man,Noble Watts,Blues,US,1987,4:20,526457600,4.2
1527957801,This Is The New Shit,The Matrix Reloaded (Music From And Inspired By The Motion Picture),Various,Classical,Turkey,2002-04-29,04:20,1051574400,4.2
1472255606,"I Looked, And Behold A White Cloud*",In The Heavenly Kingdom,Healey Willan,Classical,Europe,2006,7:16,1126072600,7.16
1008554401,Question With No Answer,Upon The Wings Of Music,Jean-Luc Ponty,Jazz,US,,2:25,,2.25
522119400,There's No Place To Hide,Everything (That's Mine),The Motions,Rock,Netherlands,1966,,-126220400,
1252494722,Hillbilly French,Split Mix,Jeremy-Pastell,"Folk, World, & Country",Germany,2019,,1546200800,
1594899202,Come Back To Me (Instrumental),Come Back To Me,Janet Jackson,Hip Hop,Australia,1989,5:15,599616000,5.15
146958808,That's How You Rap,The Labor Union,King Syze,Hip Hop,US,2008-08-05,2:26,1217894400,2.26
1482628202,Act.2. Scene 1: Lunge Da Lei...De' Mieri Bollenti,La Traviata (Highlights),John Pritchard,Stage & Screen,Australia,1972,,94694400,
457088109,Marionette With Broken Strings,& The Story Of The Insects,The Hermitt,Rock,US,2002,2:20,1041279200,2.2
227066014,Someone's Watching Over Me,Hilary Duff,Hilary Duff,Pop,Asia,2004,,1072915200,
769729100,Overture,Snow White And The Seven Dwarfs,Various,Stage & Screen,US,1968,,-62158400,
294187402,Bass Patrol Chillin',Rock This Planet,Bass Patrol,Hip Hop,US,1988,,567992600,
491856802,Challenging Me,For The Love Of Music,Mike Park,Rock,US,2002,,1041279200,
1492495708,Try Matty's,Spirit In The Dark,Aretha Franklin,Funk / Soul,New Zealand,1970,2:28,0,2.2800000000000002
1272511701,Wonderful Tonight,Slowhand,Eric Clapton,Rock,Canada,,2:41,,2.41
1461444511,So Wie Ein Bim-Bam-Bumerang,Starportrait,Peter Alexander,Pop,Germany,,,,
1472874002,Tornado Spiral,GIRLS,EXO-CBX,Pop,Japan,2017-05-24,2:29,1495584000,2.29
198502905,Dallas Skit,Murdoc,Cuthead,Hip Hop,Germany,2008,1:02,1199145600,1.02
1027612201,All Blues,Rock Swing - Hot Feeling,Various,Funk / Soul,Italy,1999,12:24,915148800,12.24
1252952705,Sun's Gonna Shine In My Back Door Some Day,Folk Songs Of Our Land,Flatt & Scruggs,"Folk, World, & Country",US,1962,2:18,-252460800,2.18
248627517,Allegro Non Molto,6 Concertos,James Galway,Classical,Europe,1989,2:44,599616000,2.44
425756602,Show Me The Love,Never Too Drunk To Funk,Defunk,Funk / Soul,Canada,2012-02-04,4:42,1262255200,4.42
710419907,Darn That Dream,Johnny Nash,Johnny Nash,Pop,US,1958,2:05,-278691200,2.05
650228805,Rhapsody In Beauty,Rhapsody In Beauty,The Novembers,Rock,Japan,2014-10-15,5:42,1412221200,5.42
17750201,Junkie Monkey,One On One / Junkie Monkey,Eufex,Electronic,UK,2000,,946684800,
197226905,Gare De L'Est Orient Express,Intertwining Spirits,Sam Rivers,Jazz,France,1982,2:14,410227200,2.14
1266566602,Bãli Sol,Valahol Nagyon Messze,Bãli Sol,Latin,Hungary,2005,4:18,1104527600,4.18
697590104,Where Do I Begin,Golden Retro Hits 2,Various,Pop,Russia,,,,
564640707,Half Hollow,Nnon,The Woken Trees,Rock,Denmark,2012,,1256998400,
255195412,From Paris To Berlin,Pioneer The Album Vol. 6,Various,Electronic,Spain,2005,2:40,1104527600,2.4
100222411,I Want Your Sex,Nights In Heaven (The Party Anthems),Various,Funk / Soul,UK & Europe,1995,4:47,788918400,4.47
1281120209,Night Lights,In Trance,Scorpions,Rock,UK,1976,2:14,189202400,2.14
661982100,Overture; Audition,42nd Street,Thomas Z. Shepard,Stage & Screen,Germany,,4:41,,4.41
1612425614,With Love To An Ex,Song Machine Season One,Gorillaz,Electronic,US,2020-10-22,2:01,1602411200,2.01
821648704,Picture Perfect,Make Believe,Platinum Weird,Pop,Ukraine,2007,4:06,1167609600,4.06
282175742,42 Hz,Kontrol,Bass Mekanik,Hip Hop,US,2012-06-01,0:10,1228508800,0.1
994222112,I'm Crazy For This Girl (Radio Edit),Dep Verano 2001 - Artistas Anglo,Various,Pop,Argentina,2001,2:25,978207200,2.25
1066422516,Look Away,The Left Hand,Freddy-P,Hip Hop,"USA, Canada & Europe",2017-04-17,,1492287200,
915472811,Dear Eliza,Brawl In Paradise,Elyas Khan,Pop,Europe,2012,,1256998400,
214800212,Renown,Lone Wolf,Prowla,Hip Hop,Australia,2006,,1126072600,
1128747401,Milord,Piaf,Erna Palsterman,Pop,Belgium,1992,,694224000,
29922202,Move To The Bigband (Clubmix),Styles XL,Ben Liebrand,Electronic,Netherlands,2002-06-14,6:24,1055548800,6.24
227596100,Burnout,Dookie,Green Day,Rock,Europe,2009,2:07,1220768000,2.07
1272722802,Tere Ishq Mein Pagal,Humko Tumse Pyaar Hai,Dev Kohli,Stage & Screen,India,2005-10-00,,1128124800,
222229500,I Don't Know You,R.T.S,Remain The Same,Pop,Sweden,2000,2:46,946684800,2.46
1292886614,Outro,Make It Hot,Da Champ,Hip Hop,US,2002,,1009842200,
689698904,Black Rain (Unreleased Version),Treehouse Presents The Rare & Unreleased EP Vol 1,Headnodz,Hip Hop,UK,2015,,1420070400,
121422815,Freestyle,Freestyle 2 (Volume 2: Provinces),Cut Killer,Hip Hop,France,1998-02-00,,888710400,
1144542227,Signal: Larm,"Marscher, Visor Och Annat Välljud Ur Ingenjörstruppernas Musikaliska Arv",Various,Brass & Military,Sweden,2005,0:07,1104527600,0.07
141522701,The Night Before,"Chansons Du Film ""Help!""",The Beatles,Stage & Screen,France,1965,,-157766400,
549218922,Unbuttoned,"Button Box - 46 Responses To ""Air Buttons""",Various,Pop,UK,2012-12-12,2:00,1286806400,2
1049521700,Long White Cadillac,Just Lookin' For A Hit,Dwight Yoakam,"Folk, World, & Country",US,1989,5:20,599616000,5.2
780264747,Trance Visionary,Wishbone Ash 2-4,Wishbone Ash,Rock,Russia,2012,,1225276000,
1075464807,Sleepless,The Millennium Collection - The Best of Jann Arden,Jann Arden,Pop,Canada,2010-04-27,4:25,1272226400,4.25
805804112,Knocking On Heaven's Door,The Freddie Mercury Tribute,Various,Pop,UK & Europe,1992-11-22,,722476800,
1499606900,May The Bird Of Paradise Fly Up Your Nose,Wacky Westerns,Various,"Folk, World, & Country",US,2002,,1009842200,
660096128,Escape,Wanna Only Be Stupid Plots - Discography 1996-2000,Stupid Plots,Rock,Japan,2012,,1256998400,
517829612,Saving Privet Business,Vaatican Sampler 16,Various,Non-Music,France,2010,,1262204000,
1525422202,I Thought...,[demo cd from the album] Reinvent,Rubber Spanner,Pop,UK,2010,,1262204000,
871202802,Morning Glow (Beg),Music & Me,Michael Jackson,Funk / Soul,US,1972,2:55,94694400,2.55
229262946,Lawdy Miss Clawdy,1952,Various,"Folk, World, & Country",Germany,2008,,1199145600,
782499200,Clubber's Megamix,Clubber's Anthem = 狂舞年代,Various,Electronic,Taiwan,2008,,1199145600,
1181042102,Sequencer Improvisation (Bonus Track),Sp'roque,p'faun,Electronic,Germany,2018-02-18,,1518912000,
1260610016,Don't Blame Me,Billy Eckstine Together,Billy Eckstine And His Orchestra,Jazz,Japan,,2:52,,2.5200000000000002
1124862907,Allegretto,Klavierquintette,Franz Danzi,Classical,Europe,2007,,1167609600,
607647204,A Touch Of Evil,Retribution In Montréal,Judas Priest,Rock,Canada,2009,,1220768000,
1065847422,You Must Have Been,Hit Explosion (2002-4),Various,Pop,Netherlands,2002,2:52,1009842200,2.52
871061100,Гюльсара,Песни Алексея Экимяна,Вахтанг Кикабидзе,Pop,USSR,1981,2:00,247155200,2
146499204,Everyone Go,Leave Home,John Davis (2),"Folk, World, & Country",US,1995,,788918400,
154546102,Anything Goes,Chicago,Count Basie Orchestra,Jazz,Germany,1984,,441762200,
1121687601,Moonlight Densetsu (DJ Beta Remix),Anime Toonz Presents Kikuko Inoue,Kikuko Inoue,Electronic,US,2002,4:22,1009842200,4.22
297697906,Going After Her Regardless,Headphone Science Presents: The Seduction Of Sabrina's Modulation (A Headphone Romance),Headphone Science,Electronic,US,2005,5:46,1104527600,5.46
756856419,Krieg,Live 2007/08,Sandow,Rock,Germany,2009-02-27,,1225692800,
